Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,1,0.8082737768004398,0.8240375123395854,0.8303904501367819,0.8272017837235228,0.8877795949147163,0.910736689576202
Random Forest,2,0.8110225398570643,0.8305847076461769,0.8266600348172096,0.8286177240433753,0.8872091641768579,0.909973104754731
Random Forest,3,0.7957669048927982,0.8119616047255722,0.8204426759512559,0.8161801088570014,0.8788763752205683,0.9025944602696682
Random Forest,4,0.809648158328752,0.8265609514370664,0.8296443670728675,0.8280997890033511,0.8900575358782673,0.9122625337054383
Random Forest,5,0.8060747663551402,0.8233399405351833,0.8264113404625715,0.8248727814322949,0.8882287728289766,0.911334264078065
Random Forest,6,0.8121220450797141,0.8230282375851996,0.8408356130315842,0.8318366342723582,0.891458743287449,0.9138993711371547
Random Forest,7,0.8037383177570093,0.822111801242236,0.8229296194976374,0.8225205070842655,0.885185647852614,0.9081302404814237
Random Forest,8,0.8145959318306762,0.8223938223938224,0.8475503606068142,0.8347826086956521,0.8935893395312092,0.9149388775900618
Random Forest,9,0.8118471687740517,0.8276117559891332,0.8331675783192442,0.83038037417916,0.8946000592316934,0.9166122120791478
Random Forest,10,0.8070368334249588,0.816030902945437,0.8403779214321233,0.8280254777070064,0.8862455404311324,0.9100933618184771
